line_num, word, mean, line_num2, word2, sent, sent_mean,
1,resume,이력서,1,resume,I updated my resume for the job application.,나는 직업 지원을 위해 이력서를 업데이트했다.,
2,applicant,"지원자, 신청자",2,applicant,Each applicant must submit a cover letter.,모든 지원자는 자기소개서를 제출해야 합니다.,
3,requirement,"필요조건, 요건",3,requirement,The job has several specific requirements.,이 직업에는 몇 가지 특정 요건이 있다.,
4,meet,"(필요,요구 등을)만족시키다",4,meet,He meets all our qualifications.,그는 우리의 모든 자격 조건을 만족시킨다.,
5,qualified,"자격있는, 적격의",5,qualified,She is highly qualified for this position.,그녀는 이 직책에 매우 적격이다.,
6,candidate,"후보자, 지원자",6,candidate,We interviewed many candidates for the role.,우리는 그 역할에 많은 후보자들을 면접했다.,
7,confidence,"확신, 자신, 신임",7,confidence,She spoke with great confidence.,그녀는 큰 자신감으로 말했다.,
8,highly,"매우, 대단히",8,highly,He is highly skilled in negotiations.,그는 협상에서 매우 숙련되어 있다.,
9,professional,"전문적인, 직업의, 전문가",9,professional,It's important to maintain a professional image.,전문적인 이미지를 유지하는 것이 중요하다.,
10,interview,"면접, 면접을 보다",10,interview,She has an interview tomorrow morning.,그녀는 내일 아침에 면접이 있다.,
11,hire,고용하다,11,hire,The company decided to hire three new employees.,회사는 세 명의 새 직원을 고용하기로 결정했다.,
12,training,"교육, 훈련",12,training,He is undergoing training for his new role.,그는 새로운 역할을 위한 훈련을 받고 있다.,
13,reference,"추천서, 참고",13,reference,Can you provide a reference from your last job?,당신의 마지막 직장에서 추천서를 제공할 수 있나요?,
14,position,"일자리, 직책, 두다",14,position,She applied for the manager position.,그녀는 매니저 직책에 지원했다.,
15,achievement,"성취, 달성",15,achievement,Receiving this award is a great achievement.,이 상을 받는 것은 큰 성취이다.,
16,impressed,"인상 깊게 생각하는, 감명을 받은",16,impressed,They were impressed with his presentation.,그들은 그의 발표에 감명 받았다.,
17,excellent,훌륭한,17,excellent,She has an excellent track record.,그녀는 훌륭한 경력을 가지고 있다.,
18,eligible,"자격이 있는, 적격의",18,eligible,Are you eligible for this scholarship?,당신은 이 장학금을 받을 자격이 있나요?,
19,identify,"알아보다, 확인하다",19,identify,It is hard to identify the problem.,문제를 알아내기 어렵다.,
20,associate,관련시키다,20,associate,People often associate this brand with quality.,사람들은 종종 이 브랜드를 품질과 연관 지어 생각한다.,
21,condition,조건,21,condition,The condition of the house affects its price.,집의 상태는 그 가격에 영향을 미친다.,
22,employment,고용,22,employment,She is looking for full-time employment.,그녀는 전일제 고용을 찾고 있다.,
23,lack,"~이 없다, 부족",23,lack,The team lacks experience.,팀은 경험이 부족하다.,
24,managerial,관리의,24,managerial,His managerial skills are outstanding.,그의 관리 기술은 뛰어나다.,
25,diligent,성실한,25,diligent,He is a diligent student.,그는 성실한 학생이다.,
26,familiar,"익숙한, 친숙한",26,familiar,She is familiar with the regulations.,그녀는 규정에 익숙하다.,
27,proficiency,"숙달, 능숙",27,proficiency,His proficiency in Japanese is amazing.,그의 일본어 숙련도는 놀랍다.,
28,prospective,"장래의, 미래의",28,prospective,They showed the house to prospective buyers.,그들은 잠재적 구매자들에게 집을 보여주었다.,
29,appeal,"관심을 끌다, 매력적이다",29,appeal,The idea did not appeal to everyone.,그 아이디어는 모두에게 매력적이지 않았다.,
30,specialize,"~을 전공하다, 전문적으로 다루다",30,specialize,She specializes in medieval history.,그녀는 중세 역사를 전공한다.,
